i,j,capacity
0,1,104
0,2,51
0,10,56
0,13,42
0,18,77
0,21,108
0,24,49
0,25,26
0,26,58
0,29,53
0,34,60
0,35,17
0,36,89
0,41,28
0,43,33
0,45,18
0,48,21
0,49,27
1,0,98
1,2,52
1,5,138
1,11,119
1,13,38
1,17,78
1,18,81
1,20,84
1,21,94
1,22,35
1,23,106
1,24,28
1,25,29
1,30,147
1,34,81
1,36,89
1,38,146
1,39,47
1,41,13
1,42,148
1,43,40
1,44,90
1,45,21
1,46,139
1,48,28
1,49,20
2,0,65
2,1,80
2,10,58
2,11,144
2,13,18
2,18,64
2,21,137
2,22,29
2,23,69
2,24,29
2,25,14
2,26,47
2,34,93
2,35,43
2,36,28
2,39,51
2,41,24
2,42,128
2,43,59
2,44,78
2,45,15
2,46,101
2,48,31
2,49,27
3,4,46
3,12,85
3,16,125
3,33,113
3,40,138
3,42,96
4,3,76
4,12,103
4,16,71
4,40,130
5,1,59
5,6,135
5,7,95
5,8,105
5,9,71
5,14,127
5,15,70
5,17,143
5,19,102
5,20,46
5,22,50
5,23,60
5,27,140
5,30,73
5,31,51
5,32,44
5,37,47
5,39,87
5,44,88
5,48,11
6,5,95
6,8,141
6,9,85
6,10,55
6,14,83
6,15,79
6,19,95
6,20,128
6,22,36
6,23,102
6,27,134
6,28,115
6,32,54
6,37,91
6,39,52
6,44,86
6,47,40
6,48,36
7,5,125
7,8,143
7,9,123
7,17,137
7,30,65
7,31,133
8,5,41
8,6,82
8,7,115
8,9,134
8,14,112
8,15,115
8,17,69
8,19,107
8,20,122
8,22,57
8,23,44
8,27,117
8,30,40
8,31,43
8,37,71
8,39,34
8,44,35
9,5,107
9,6,59
9,7,137
9,8,68
9,14,76
9,15,101
9,17,103
9,19,50
9,20,81
9,22,29
9,23,112
9,27,107
9,28,87
9,30,104
9,31,142
9,32,50
9,37,46
9,39,59
9,44,53
10,0,61
10,2,34
10,6,82
10,13,39
10,14,132
10,15,55
10,19,60
10,20,60
10,22,38
10,23,124
10,24,66
10,25,15
10,28,63
10,29,25
10,32,49
10,34,47
10,35,36
10,36,85
10,37,53
10,39,73
10,41,26
10,43,58
10,44,42
10,45,18
10,48,11
10,49,29
11,1,91
11,2,25
11,12,63
11,16,123
11,18,105
11,21,118
11,24,49
11,33,58
11,34,38
11,38,89
11,42,122
11,46,98
12,3,111
12,4,100
12,11,145
12,16,67
12,18,68
12,21,78
12,33,55
12,38,83
12,40,82
12,42,122
12,46,55
13,0,75
13,1,117
13,2,31
13,10,46
13,15,101
13,18,61
13,19,92
13,20,91
13,21,119
13,22,49
13,23,52
13,24,33
13,25,19
13,26,64
13,29,37
13,32,50
13,34,64
13,35,26
13,36,91
13,39,95
13,41,15
13,43,53
13,44,42
13,45,18
13,46,122
13,48,24
13,49,25
14,5,142
14,6,115
14,8,96
14,9,47
14,10,38
14,15,89
14,19,108
14,20,39
14,22,36
14,23,56
14,27,94
14,28,103
14,32,31
14,37,74
14,39,81
14,44,66
14,47,73
14,48,17
15,5,107
15,6,108
15,8,64
15,9,86
15,10,56
15,13,30
15,14,106
15,19,95
15,20,138
15,22,50
15,23,81
15,25,15
15,27,78
15,28,148
15,29,40
15,32,52
15,35,19
15,37,58
15,39,52
15,41,18
15,43,50
15,44,80
15,45,26
15,48,29
15,49,19
16,3,110
16,4,103
16,11,143
16,12,77
16,33,76
16,40,40
16,42,54
17,1,112
17,5,120
17,7,49
17,8,91
17,9,73
17,30,147
17,31,80
17,39,34
18,0,81
18,1,114
18,2,56
18,11,109
18,12,66
18,13,58
18,21,58
18,24,65
18,25,26
18,26,84
18,33,109
18,34,62
18,36,65
18,38,142
18,42,142
18,43,59
18,45,24
18,46,72
19,5,111
19,6,74
19,8,48
19,9,91
19,10,46
19,13,49
19,14,126
19,15,80
19,20,72
19,22,53
19,23,37
19,25,13
19,27,52
19,28,56
19,29,82
19,32,93
19,35,34
19,37,88
19,39,88
19,41,27
19,43,28
19,44,82
19,45,27
19,48,22
19,49,14
20,1,75
20,5,76
20,6,90
20,8,49
20,9,90
20,10,45
20,13,37
20,14,115
20,15,79
20,19,108
20,22,30
20,23,122
20,25,28
20,27,111
20,28,103
20,30,49
20,32,90
20,37,79
20,39,87
20,41,23
20,43,54
20,44,66
20,45,11
20,48,35
20,49,23
21,0,94
21,1,37
21,2,77
21,11,98
21,12,68
21,13,42
21,18,129
21,24,61
21,25,13
21,26,99
21,33,66
21,34,83
21,35,19
21,36,40
21,38,142
21,39,54
21,41,19
21,42,146
21,43,46
21,45,20
21,46,133
21,48,22
21,49,11
22,1,48
22,2,27
22,5,139
22,6,95
22,8,149
22,9,69
22,10,43
22,13,26
22,14,91
22,15,109
22,19,53
22,20,137
22,23,120
22,24,92
22,25,20
22,27,64
22,28,106
22,29,75
22,32,67
22,34,92
22,35,16
22,36,91
22,37,132
22,39,101
22,41,9
22,43,42
