node,type,lat,lon
0,source,31.320329849738187,-101.36205928313402
1,source,37.96642537220419,-103.17292970950658
2,source,37.1799301353028,-117.30456750530107
3,source,41.286853494805264,-119.73177947755407
4,source,34.76461579520792,-108.53158579526442
5,trans,40.9219651265042,-104.54531540666017
6,trans,34.42423043666683,-92.18117770515045
7,trans,39.981587015937336,-106.95302404586461
8,trans,28.091452846817937,-94.33885040053703
9,trans,33.01979266068898,-90.00909588156912
10,trans,27.00903253860973,-111.32147588002763
11,trans,27.302174102743784,-99.19009652349747
12,trans,26.119814890305808,-90.19156154904022
13,trans,30.882653215142106,-90.8829667681716
14,trans,31.32703862146876,-94.42936649646148
15,trans,42.90733144421327,-115.46353685799961
16,trans,42.24531726020828,-91.42774147584721
17,trans,37.381539196945326,-102.93625720970428
18,trans,33.786142322280725,-89.84647761704755
19,trans,29.880046009845554,-113.4802456186139
20,trans,26.617154257573546,-95.01929294821205
21,trans,33.02657771850198,-121.89079267077912
22,trans,31.99069945476844,-109.58056541462872
23,trans,30.570600602540992,-86.19584278159863
24,trans,25.60531195082386,-102.6808592192085
25,trans,41.788984537826494,-90.71870251312777
26,trans,36.83990355436965,-110.47254131690244
27,trans,29.334900990395845,-86.52144304737094
28,trans,33.717997312472406,-87.99963266476794
29,trans,29.882474512799966,-102.89036373043547
30,trans,43.419935182206174,-110.83855120082254
31,trans,31.512157484731606,-104.14216695522406
32,trans,28.527677183575953,-101.35427820377737
33,trans,38.67604127940676,-112.93011251797525
34,trans,36.43786657965923,-119.88962945943528
35,trans,33.82094860682057,-96.77522092614937
36,trans,31.856797623477423,-102.27172219499548
37,trans,31.552791802801014,-99.13689811603814
38,trans,26.78514268004246,-73.39006482460074
39,trans,32.068363259250496,-96.3897927674646
40,trans,41.70954236908166,-97.7149663193992
41,trans,33.440976917628504,-104.53298164474894
42,trans,29.46334166926857,-112.0245669447776
43,trans,29.98723271281877,-102.45603610414683
44,trans,39.95274801453243,-90.73667195320871
45,trans,28.926827300484923,-96.06123593948841
46,trans,31.294696671263523,-92.76551914513297
47,trans,37.4665429378385,-101.11816725214175
48,trans,34.216898173689025,-98.64110880189008
49,sink,31.028019111420186,-98.37764597013204
